line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
4101,,1,,2,,1,1,,1,,,3,127
4102,,,,1,,1,,1,1,1,1,1,128
4103,,,,,,1,1,2,,2,1,1,129
4104,2,,,,,1,4,2,,,,1,130
4105,,,,,2,3,,2,2,1,2,,131
4106,,,,,1,,1,,,1,,1,132
4107,1,,1,,1,1,1,2,,5,1,1,133
4108,,,,,,,,,,,,,134
4109,,1,1,,,,2,1,1,,,1,135
4110,3,,2,1,2,,,4,2,,2,,136
4111,1,1,1,1,1,2,1,,3,,2,,137
4112,,,,,,,,,,,,,138
4113,3,,3,2,3,,2,4,6,1,1,2,139
4114,1,1,,,,1,5,2,2,1,2,,140
4115,1,1,,2,2,1,1,1,1,,2,1,141
4116,,,1,3,3,6,2,1,1,1,,,142
4117,3,1,1,2,,1,5,,4,2,1,2,143
4118,,,,,,,,,,,,,144
4190,,,,,,,,,,,,,145
4199,,,,,,,,,,,,,146
4201,,1,,1,2,2,1,1,,,2,,147
4202,1,1,1,1,1,1,,1,1,,1,,148
4203,,1,1,1,2,2,1,,2,,,,149
4205,,1,1,,1,1,2,1,1,3,,1,150
4206,1,,1,,1,,3,1,1,1,2,,151
4207,,1,1,,,,,,,,1,,152
4208,1,1,,,1,,,1,1,,1,,153
4209,1,,,3,,,,1,1,,2,3,154
4210,1,1,3,1,,2,2,3,2,1,,3,155
4211,2,1,2,2,3,2,,4,1,4,1,1,156
4212,,1,,,,,2,,1,2,1,,157
4213,,,,,3,1,1,1,1,1,1,1,158
4228,1,,,1,2,,,1,,,,1,159
4290,,,1,,1,1,2,,2,,4,1,160
4299,,,,,,,,,,,,,161
4301,1,1,1,1,2,1,,3,1,,,,162
4302,2,1,2,,3,1,1,2,3,2,,1,163
4303,,1,1,1,,1,1,1,2,1,2,1,164
4304,6,,1,3,,2,3,4,4,2,2,1,165
4305,1,4,3,2,2,5,1,7,5,3,6,2,166
4306,1,1,2,,6,1,2,1,3,2,1,1,167
4307,3,2,4,,2,3,2,,4,1,,,168
4308,,,,,,1,,1,,,,1,169
4309,4,,4,2,1,2,2,2,1,2,1,,170
4310,4,4,4,3,2,2,1,4,2,4,2,3,171
4311,8,5,8,7,2,2,3,3,,,2,2,172
4312,2,4,2,2,1,7,1,3,2,2,3,,173
4313,4,1,3,1,2,3,,3,4,1,4,3,174
4331,4,2,,4,2,2,2,1,4,2,1,2,175
4399,,,,,,,,,,,,,176
4401,2,1,1,3,1,,2,,1,,1,3,177
4402,1,2,1,,1,2,2,1,2,3,3,4,178
4403,,,2,3,,,2,3,,,1,1,179
4404,,,,,,,,,,,,,180
4405,,,1,1,,,2,,,,,,181
4406,,,,,,1,,,,,,,182
4407,,,,1,,,,,1,1,,2,183
4408,3,2,2,1,1,,1,,3,,2,1,184
4409,4,6,5,6,7,3,5,6,7,3,5,3,185
4412,1,2,2,1,,6,3,3,4,2,3,2,186
4413,1,2,2,2,1,1,1,1,1,1,,3,187
4414,1,1,1,,2,3,1,1,,2,,1,188
4415,3,1,,,1,1,1,,,1,,1,189
4416,1,4,,2,1,1,2,1,5,3,1,,190
4417,2,1,4,1,4,1,,1,2,,1,1,191
4418,5,3,4,5,3,5,5,4,5,4,5,3,192
4419,,2,1,1,,,,1,1,,1,1,193
4420,,,,,1,,,1,,,,1,194
4451,,,,,,,,,,,,,195
4452,3,,1,1,2,1,1,,1,1,3,1,196
4453,2,,2,1,,,1,2,6,,1,2,197
4499,,,,,,,,,,,,,198
4501,2,2,2,4,2,1,3,5,6,3,3,,199
4502,3,1,2,3,4,3,3,,1,3,3,2,200
4503,2,3,4,4,3,5,7,5,8,5,5,4,201
4504,2,1,3,2,1,2,2,2,5,1,2,2,202
4505,1,2,2,2,1,,2,1,2,2,1,1,203
4506,1,1,1,2,1,2,,,,,1,,204
4507,5,3,3,3,1,2,3,3,5,1,3,6,205
4508,5,8,7,5,3,10,2,5,6,6,3,4,206
4509,6,3,5,8,4,6,5,9,3,3,1,1,207
4510,4,3,9,4,5,8,3,4,6,6,2,7,208
4511,2,2,3,1,,3,1,2,2,5,1,4,209
4512,6,1,1,2,2,1,5,6,4,1,3,2,210
4513,5,2,1,3,2,2,5,1,1,2,5,3,211
4514,,1,,2,1,2,1,2,2,1,4,,212
4599,,,,,,,,,,,,,213
4601,,,,,,,,1,1,3,4,2,214
4602,,,,,,,,,,,,,215
4690,,,3,1,1,5,2,4,10,8,8,12,216
5001,1,1,1,,4,7,3,5,8,17,12,6,217
5002,5,4,3,3,6,7,13,15,9,20,15,11,218
5003,,,,,,,,,,,,,219
5101,4,,1,2,6,4,9,5,9,5,,7,220
5103,1,,,,2,2,2,2,2,1,,1,221
5104,,,,,,,,,,,,,222
5105,,,,,,,1,2,2,1,1,2,223
5106,,1,,,1,1,,,1,1,,1,224
5107,,,,,,,1,1,2,2,,2,225
5108,,,,,,,,,,,,,226
5109,,1,,1,1,5,4,5,5,2,2,3,227
5110,4,1,,,3,3,3,3,2,1,1,1,228
5111,,,,3,,1,,2,1,,3,,229
5113,2,5,6,3,3,3,4,16,4,9,6,4,230
5114,2,,,4,,3,3,1,2,1,1,6,231
5115,1,,2,1,1,,2,,2,,,,232
5116,3,1,,2,5,5,9,7,5,5,6,5,233
5117,2,1,2,2,3,3,3,2,,,2,1,234
5118,,,,,,,,,,,1,,235
5119,3,1,3,1,3,2,2,2,1,,2,1,236
5120,1,1,3,,4,6,3,4,,4,3,,237
5134,,,,,,,,,,,,,238
5199,,,,,,,,,,,,,239
5201,2,2,2,3,3,2,1,3,2,1,1,2,240
5202,2,2,2,2,2,2,1,5,1,3,1,,241
5203,5,3,3,6,3,2,4,4,1,1,2,,242
5204,5,3,3,5,2,6,8,8,2,2,2,2,243
5222,3,2,,4,10,9,9,9,2,5,7,1,244
5223,2,5,5,6,4,5,8,3,6,3,,1,245
5224,4,1,6,4,10,9,12,17,6,11,2,2,246
5226,2,2,2,7,3,7,1,6,5,4,3,4,247
5227,7,3,4,3,5,4,4,2,4,6,6,5,248
5299,,,,,,,,,,1,,,249
5301,,,,,,,,,,,,,250
5303,1,,,,,,1,2,6,2,2,,251
5304,,,,,,,,,,,,,252
5305,,1,,1,,,,,,,,,253
5306,,,,1,2,3,7,6,7,7,3,2,254
5307,,,,,,,,,,,,,255
5308,,,,,,,,,,,,,256
5309,,,,,,,,,,,,,257
5323,,,,,,,,,,,,,258
5325,,,,,,,,,,,,,259
5326,,,,,,4,2,,1,1,,1,260
5328,,,,,,,,,,,,,261
5329,,,,,,,,,,,,,262
5331,1,,,1,,,1,,,,,,263
6101,,,,,,,,,,,,,264
6103,,,,,,,,,,,,,265
6104,,,,,,,,,,,,,266
6105,,,,,,,,,,,,,267
6106,,,,,,,,,,,,,268
6107,,,,,,,,,,,,,269
6108,,,,,,,,,,,,,270
6109,,,,,,,,,,,,,271
6110,,,,,,,,,,,,,272
6111,,,,,,,,,,,,,273
6190,,,,,,,,,,,,,274
6199,,,,,,,,,,,,,275
6205,,,,,,,,,,,,,276
6208,,,,,,,,,,,,,277
6210,,,,,,,,,,,,,278
6323,,,,,,,,,,,,,279
6326,,,,,,,,,,,,,280
6401,,,,,,,,,,,,,281
6402,,,,,,,,,,,,,282
6403,,,,,,,,,,,,,283
6404,,,,,,,,,,,,,284
6502,,,,,,,,,,,,,285
6540,,,,,,,,,,,,,286
6542,,,,,,,,,,,,,287
